year,kt,party,id_kt,others_name,ap_i,vote,ap_s,seats,kname,s
1995,BL,cvp,BL1995,,BL95A,11.69999980926514,0,,Basel-Landschaft ,1
1999,BL,cvp,BL1999,,BL99A,12,0,,Basel-Landschaft ,1
2003,BL,cvp,BL2003,,BL03A,10.03315925598145,0,,Basel-Landschaft ,1
2007,BL,cvp,BL2007,,BL07A,11.39999961853027,0,,Basel-Landschaft ,1
2011,BL,cvp,BL2011,,BL11B,8.199999809265137,1,,Basel-Landschaft ,1
1995,BS,cvp,BS1995,,BS95A,9.699999809265137,-1,,Basel-Stadt,0
1999,BS,cvp,BS1999,,BS99A,8.600000381469727,0,,Basel-Stadt,0
2003,BS,cvp,BS2003,,BS03A,6.59424638748169,0,,Basel-Stadt,0
2007,BS,cvp,BS2007,,BS07A,7.400000095367432,0,,Basel-Stadt,0
2011,BS,cvp,BS2011,,BS11B,6.5,1,,Basel-Stadt,1
1995,FR,cvp,FR1995,,FR95A,36,-1,,Freiburg,3
1999,FR,cvp,FR1999,,FR99A,33.70000076293945,-1,,Freiburg,2
2003,FR,cvp,FR2003,,FR03A,25.38118743896484,0,,Freiburg,2
2007,FR,cvp,FR2007,,FR07A,24.79999923706055,0,,Freiburg,2
2011,FR,cvp,FR2011,,FR11D,20.29999923706055,0,,Freiburg,2
1995,GE,cvp,GE1995,,GE95A,13.39999961853027,-1,,Genf,1
1999,GE,cvp,GE1999,,GE99A,14.10000038146973,0,,Genf,2
2003,GE,cvp,GE2003,,GE03A,11.82784271240234,0,,Genf,1
2007,GE,cvp,GE2007,,GE07A,9.699999809265137,0,,Genf,1
2011,GE,cvp,GE2011,,GE11B,9.800000190734863,0,,Genf,1
1995,GL,cvp,GL1995,,,0,0,,Glarus,0
1999,GL,cvp,GL1999,,,0,0,,Glarus,0
2003,GL,cvp,GL2003,,,0,0,,Glarus,0
2007,GL,cvp,GL2007,,,0,0,,Glarus,0
2011,GL,cvp,GL2011,,,0,0,,Glarus,0
1995,GR,cvp,GR1995,,,26.89999961853027,0,,Graubünden,1
1999,GR,cvp,GR1999,,GR99A,25.60000038146973,0,,Graubünden,1
2003,GR,cvp,GR2003,,,23.71037673950195,0,,Graubünden,1
2007,GR,cvp,GR2007,,,20.29999923706055,0,,Graubünden,1
2011,GR,cvp,GR2011,,,16.60000038146973,0,,Graubünden,1
